# session_start_unix_us=1780926305094134
# session_end_unix_us=1780927146683656
block,trial,trail_timestamp,rt,correct,time_limit,timed_out,onset_unix,response_unix
practice,1,2026-06-08 15:45:46.111205,1.148443099999895,True,,,1780926346122863,1780926347259255
practice,2,2026-06-08 15:45:48.291085,1.3180014000008669,True,,,1780926348306192,1780926349608629
practice,3,2026-06-08 15:45:50.639357,0.9200822000002518,True,,,1780926350655424,1780926351559298
practice,4,2026-06-08 15:45:52.590333,0.7695157999996809,True,,,1780926352606200,1780926353359768
practice,5,2026-06-08 15:45:54.389918,0.6197090999994543,True,,,1780926354405422,1780926355009137
baseline,1,2026-06-08 15:46:06.675649,0.9680369999996401,True,,,1780926366689812,1780926367643147
baseline,2,2026-06-08 15:46:08.456457,-0.39607210000031046,True,,,1780926368472717,1780926368472717
baseline,3,2026-06-08 15:46:09.291339,0.7686010999996142,True,,,1780926369306031,1780926370059542
baseline,4,2026-06-08 15:46:10.874704,0.7183219999997164,True,,,1780926370888874,1780926371592611
baseline,5,2026-06-08 15:46:12.407766,0.5530711999999767,True,,,1780926372422964,1780926372976566
baseline,6,2026-06-08 15:46:13.790196,0.7373809999999139,True,,,1780926373805536,1780926374527311
baseline,7,2026-06-08 15:46:15.339546,0.686327600000368,True,,,1780926375356227,1780926376025805
baseline,8,2026-06-08 15:46:16.841370,0.7023390000003928,True,,,1780926376856051,1780926377543282
baseline,9,2026-06-08 15:46:18.356164,0.6045477999996365,True,,,1780926378372726,1780926378960304
baseline,10,2026-06-08 15:46:19.773332,1.2528714999998556,False,,,1780926379789398,1780926381025937
baseline,11,2026-06-08 15:46:21.842771,1.9500103999998828,False,,,1780926381855877,1780926383792441
baseline,12,2026-06-08 15:46:24.607721,0.9694795999994312,True,,,1780926384622010,1780926385576650
baseline,13,2026-06-08 15:46:26.390589,0.7035670000004757,True,,,1780926386406409,1780926387093615
baseline,14,2026-06-08 15:46:27.906772,0.8193560999998226,True,,,1780926387922417,1780926388725885
baseline,15,2026-06-08 15:46:29.541529,1.1848675999999614,True,,,1780926389556147,1780926390726201
baseline,16,2026-06-08 15:46:31.539847,0.7706097000000227,True,,,1780926391556217,1780926392310225
baseline,17,2026-06-08 15:46:33.123012,0.8719120000005205,True,,,1780926393139518,1780926394008424
baseline,18,2026-06-08 15:46:34.824880,0.8520720999995319,True,,,1780926394839464,1780926395676673
baseline,19,2026-06-08 15:46:36.489928,1.0034213999997519,True,,,1780926396505620,1780926397493009
baseline,20,2026-06-08 15:46:38.308416,0.8351885999991282,True,,,1780926398322959,1780926399143698
baseline,21,2026-06-08 15:46:39.957716,1.084895700000743,True,,,1780926399972988,1780926401042447
baseline,22,2026-06-08 15:46:41.857113,0.9695512999996936,True,,,1780926401873200,1780926402826889
baseline,23,2026-06-08 15:46:43.639854,0.870324200000141,True,,,1780926403655873,1780926404509779
baseline,24,2026-06-08 15:46:45.324658,0.9192127000005712,True,,,1780926405339630,1780926406260051
baseline,25,2026-06-08 15:46:47.074748,0.7030919999997423,True,,,1780926407089528,1780926407777135
baseline,26,2026-06-08 15:46:48.589752,1.1527298000000883,True,,,1780926408605814,1780926409742290
baseline,27,2026-06-08 15:46:50.556714,0.8532551000007516,True,,,1780926410572907,1780926411409458
baseline,28,2026-06-08 15:46:52.224921,0.869680700000572,True,,,1780926412238813,1780926413094055
