# session_start_unix_us=1780928099465953
# session_end_unix_us=1780930567823978
block,trial,trail_timestamp,rt,correct,time_limit,timed_out,onset_unix,response_unix
practice,1,2026-06-08 16:47:12.923602,1.632271700000274,True,,,1780930032935748,1780930034555534
practice,2,2026-06-08 16:47:15.587852,1.23438139999962,True,,,1780930035602516,1780930036822056
practice,3,2026-06-08 16:47:17.852595,0.8191331999987597,True,,,1780930037869391,1780930038671200
practice,4,2026-06-08 16:47:19.705076,0.9357698000003438,True,,,1780930039719135,1780930040640957
practice,5,2026-06-08 16:47:21.670909,0.9678447999995115,True,,,1780930041685640,1780930042638436
baseline,1,2026-06-08 16:47:27.505884,1.4342330999988917,True,,,1780930047518501,1780930048939899
baseline,2,2026-06-08 16:47:29.756569,1.532736000001023,True,,,1780930049769080,1780930051289042
baseline,3,2026-06-08 16:47:32.103936,0.968752200000381,True,,,1780930052119114,1780930053072358
baseline,4,2026-06-08 16:47:33.886078,1.0034271999993507,True,,,1780930053902825,1780930054889021
baseline,5,2026-06-08 16:47:35.704546,0.9181842999987566,True,,,1780930055719452,1780930056622161
baseline,6,2026-06-08 16:47:37.436263,0.8029834999997547,True,,,1780930057452529,1780930058238850
baseline,7,2026-06-08 16:47:39.054678,0.8501806000003853,True,,,1780930059069229,1780930059904596
baseline,8,2026-06-08 16:47:40.720919,1.1361211000003095,True,,,1780930060735178,1780930061856617
baseline,9,2026-06-08 16:47:42.669741,3.7365355000001728,True,,,1780930062685971,1780930066405924
baseline,10,2026-06-08 16:47:47.221629,0.8340062000006583,True,,,1780930067236052,1780930068055111
baseline,11,2026-06-08 16:47:48.871159,5.001949599998625,False,,,1780930068886100,1780930073872676
baseline,12,2026-06-08 16:47:54.688177,3.1022240000002057,False,,,1780930074702736,1780930077790081
baseline,13,2026-06-08 16:47:58.604533,0.7838627999990422,True,,,1780930078619101,1780930079388067
baseline,14,2026-06-08 16:48:00.204566,0.6508871000005456,True,,,1780930080219252,1780930080855107
baseline,15,2026-06-08 16:48:01.669696,1.985590800000864,True,,,1780930081686051,1780930083654827
baseline,16,2026-06-08 16:48:04.470163,2.2033237000014196,True,,,1780930084485989,1780930086673003
baseline,17,2026-06-08 16:48:07.488546,0.783854600000268,True,,,1780930087502681,1780930088272078
baseline,18,2026-06-08 16:48:09.086702,0.83653779999986,True,,,1780930089102526,1780930089922706
baseline,19,2026-06-08 16:48:10.736366,1.7030006000004505,True,,,1780930090752392,1780930092439032
baseline,20,2026-06-08 16:48:13.254617,1.0505149999989953,True,,,1780930093268970,1780930094304777
baseline,21,2026-06-08 16:48:15.120148,0.9192689999999857,True,,,1780930095136454,1780930096038884
