# session_start_unix_us=1780920375238723
# session_end_unix_us=1780920820323198
block,trial,trail_timestamp,rt,correct,time_limit,timed_out,onset_unix,response_unix
practice,1,2026-06-08 14:06:40.170530,1.3336871999999858,True,,,1780920400184176,1780920401503757
practice,2,2026-06-08 14:06:42.534478,0.6864179000001513,True,,,1780920402550570,1780920403220435
practice,3,2026-06-08 14:06:44.252700,0.48516509999990376,False,,,1780920404283225,1780920404737435
practice,4,2026-06-08 14:06:45.769222,0.8681205999998838,True,,,1780920405784044,1780920406636293
practice,5,2026-06-08 14:06:47.667770,1.4361125000000357,True,,,1780920407684505,1780920409103438
baseline,1,2026-06-08 14:06:50.770352,0.7343496000000869,True,,,1780920410783924,1780920411504150
baseline,2,2026-06-08 14:06:52.319600,0.7514916000000085,True,,,1780920412350721,1780920413070519
baseline,3,2026-06-08 14:06:53.886098,0.6682086000000709,True,,,1780920413900686,1780920414554047
baseline,4,2026-06-08 14:06:55.369039,0.5687118000000737,True,,,1780920415383981,1780920415937350
baseline,5,2026-06-08 14:06:56.751624,0.7023678000000473,True,,,1780920416767303,1780920417453719
baseline,6,2026-06-08 14:06:58.267404,0.6033938999999009,True,,,1780920418284055,1780920418870586
baseline,7,2026-06-08 14:06:59.684143,2.053421500000013,True,,,1780920419700634,1780920421737541
baseline,8,2026-06-08 14:07:02.552694,0.9687596000001122,True,,,1780920422567597,1780920423521322
baseline,9,2026-06-08 14:07:04.336059,0.7169258999999784,True,,,1780920424350995,1780920425052903
baseline,10,2026-06-08 14:07:05.868567,0.7353471999999783,True,,,1780920425883953,1780920426603460
baseline,11,2026-06-08 14:07:07.418209,1.068982700000106,True,,,1780920427433480,1780920428486604
baseline,12,2026-06-08 14:07:09.302679,0.7519085999999788,True,,,1780920429317452,1780920430054213
baseline,13,2026-06-08 14:07:10.867512,0.7194405999998708,True,,,1780920430884284,1780920431586517
baseline,14,2026-06-08 14:07:12.402548,0.768117699999948,True,,,1780920432416648,1780920433170373
baseline,15,2026-06-08 14:07:13.984920,0.7025920000000951,False,,,1780920434000979,1780920434687125
baseline,16,2026-06-08 14:07:15.501598,0.7519532000001163,True,,,1780920435517901,1780920436253188
baseline,17,2026-06-08 14:07:17.069244,0.9680504000000383,False,,,1780920437084154,1780920438036912
baseline,18,2026-06-08 14:07:18.852689,0.8013788000000659,True,,,1780920438867377,1780920439653720
baseline,19,2026-06-08 14:07:20.469162,0.7175919999999678,True,,,1780920440484599,1780920441186709
baseline,20,2026-06-08 14:07:22.002583,0.7016860999999608,True,,,1780920442017824,1780920442703941
baseline,21,2026-06-08 14:07:23.518850,0.5516523000001143,True,,,1780920443534301,1780920444070108
baseline,22,2026-06-08 14:07:24.886429,0.8179858000000877,True,,,1780920444900972,1780920445703763
baseline,23,2026-06-08 14:07:26.519104,0.6705504999999903,True,,,1780920446534155,1780920447203257
baseline,24,2026-06-08 14:07:28.017436,0.8855636000000686,True,,,1780920448033895,1780920448902591
baseline,25,2026-06-08 14:07:29.719406,0.7507372000000032,False,,,1780920449734054,1780920450469672
baseline,26,2026-06-08 14:07:31.286103,1.1508077000000867,True,,,1780920451300812,1780920452436506
baseline,27,2026-06-08 14:07:33.252446,0.8350840999999036,True,,,1780920453267351,1780920454087003
baseline,28,2026-06-08 14:07:34.902676,0.701591100000087,True,,,1780920454917488,1780920455603786
baseline,29,2026-06-08 14:07:36.419424,1.0175389999999425,True,,,1780920456434083,1780920457436713
baseline,30,2026-06-08 14:07:38.252724,0.8683382000001529,True,,,1780920458267453,1780920459120689
baseline,31,2026-06-08 14:07:39.936692,0.6677392999999938,True,,,1780920459951085,1780920460603984
baseline,32,2026-06-08 14:07:41.417725,2.636200899999949,True,,,1780920461434059,1780920464053410
baseline,33,2026-06-08 14:07:44.869328,0.6509392000000389,True,,,1780920464884178,1780920465519784
baseline,34,2026-06-08 14:07:46.335835,0.6691530999999031,True,,,1780920466350069,1780920467004587
baseline,35,2026-06-08 14:07:47.817717,0.5194097000000966,True,,,1780920467833370,1780920468336740
baseline,36,2026-06-08 14:07:49.151322,0.6522664999999961,True,,,1780920469167500,1780920469803164
baseline,37,2026-06-08 14:07:50.619592,1.1171977999999854,True,,,1780920470634005,1780920471736486
baseline,38,2026-06-08 14:07:52.552897,0.48424920000002203,False,,,1780920472567712,1780920473036831
baseline,39,2026-06-08 14:07:53.852682,0.7013675999999123,True,,,1780920473867819,1780920474553624
baseline,40,2026-06-08 14:07:55.369084,1.0347785999999815,True,,,1780920475384082,1780920476403233
baseline,41,2026-06-08 14:07:57.220006,0.6528191999998398,True,,,1780920477234515,1780920477887193
baseline,42,2026-06-08 14:07:58.702285,0.668520400000034,True,,,1780920478718226,1780920479370870
baseline,43,2026-06-08 14:08:00.184424,0.6358926000000338,True,,,1780920480200909,1780920480819934
baseline,44,2026-06-08 14:08:01.634771,0.6853403000000071,True,,,1780920481650355,1780920482320105
baseline,45,2026-06-08 14:08:03.136503,0.5680737999998655,True,,,1780920483150883,1780920483704276
baseline,46,2026-06-08 14:08:04.519126,1.1350528000000395,True,,,1780920484533460,1780920485653951
