# session_start_unix_us=1780924701685484
# session_end_unix_us=1780925449802679
block,trial,trail_timestamp,rt,correct,time_limit,timed_out,onset_unix,response_unix
practice,1,2026-06-08 15:22:11.352260,1.2674147999996421,True,,,1780924931365327,1780924932619496
practice,2,2026-06-08 15:22:13.650353,0.9357552000001306,True,,,1780924933665390,1780924934585523
practice,3,2026-06-08 15:22:15.616647,0.8690645999995468,True,,,1780924935632232,1780924936485370
practice,4,2026-06-08 15:22:17.517065,0.8504722999996375,False,,,1780924937532182,1780924938366886
practice,5,2026-06-08 15:22:19.400383,0.8512037000000419,True,,,1780924939414996,1780924940251427
baseline,1,2026-06-08 15:22:30.335763,0.9173181999994995,True,,,1780924950348985,1780924951269188
baseline,2,2026-06-08 15:22:32.083756,0.7536773000001631,True,,,1780924952098494,1780924952853129
baseline,3,2026-06-08 15:22:33.667192,1.1847975000000588,True,,,1780924953682047,1780924954851674
baseline,4,2026-06-08 15:22:35.667719,1.1507424000001265,True,,,1780924955682204,1780924956818127
baseline,5,2026-06-08 15:22:37.634121,1.5500691000006555,True,,,1780924957648994,1780924959184035
baseline,6,2026-06-08 15:22:40.000241,0.9348499000006996,True,,,1780924960015210,1780924960934573
baseline,7,2026-06-08 15:22:41.750615,0.7172068000008949,True,,,1780924961766783,1780924962467509
baseline,8,2026-06-08 15:22:43.285146,2.4335956000004444,False,,,1780924963298686,1780924965718213
baseline,9,2026-06-08 15:22:46.534094,0.950972499999807,True,,,1780924966549308,1780924967484880
baseline,10,2026-06-08 15:22:48.298855,0.8705125999995289,True,,,1780924968315697,1780924969169051
baseline,11,2026-06-08 15:22:49.983730,2.9348675000001094,False,,,1780924969998909,1780924972918128
baseline,12,2026-06-08 15:22:53.733870,0.9023397000000841,True,,,1780924973748963,1780924974636298
baseline,13,2026-06-08 15:22:55.450285,1.4353398000002926,True,,,1780924975465460,1780924976885378
baseline,14,2026-06-08 15:22:57.699986,0.7360106999994969,True,,,1780924977715620,1780924978435471
baseline,15,2026-06-08 15:22:59.249833,0.8522831999998743,True,,,1780924979264974,1780924980101686
baseline,16,2026-06-08 15:23:00.916066,0.8698821000007229,True,,,1780924980932172,1780924981785562
baseline,17,2026-06-08 15:23:02.600708,0.8680830999992395,True,,,1780924982615935,1780924983468352
baseline,18,2026-06-08 15:23:04.284307,0.96815609999976,True,,,1780924984298658,1780924985252037
baseline,19,2026-06-08 15:23:06.067500,1.0512280999992072,True,,,1780924986082390,1780924987118385
baseline,20,2026-06-08 15:23:07.932572,0.91946310000003,True,,,1780924987949061,1780924988851713
baseline,21,2026-06-08 15:23:09.667611,5.683865500000138,False,,,1780924989682461,1780924995351112
baseline,22,2026-06-08 15:23:16.165980,1.185412699999688,True,,,1780924996182293,1780924997351281
baseline,23,2026-06-08 15:23:18.167471,0.9172031000007337,True,,,1780924998182386,1780924999084726
baseline,24,2026-06-08 15:23:19.901362,0.9508835000006002,True,,,1780924999915714,1780925000851970
baseline,25,2026-06-08 15:23:21.666485,1.1520863000005193,True,,,1780925001682617,1780925002818329
